date,time,open,high,low,close,tickVolume
2014.03.31,13:00,1.47042,1.47163,1.47019,1.47153,4430
2014.03.31,14:00,1.47153,1.47226,1.47104,1.47183,4393
2014.03.31,15:00,1.4718,1.47241,1.46912,1.47008,7261
2014.03.31,16:00,1.47004,1.47256,1.46943,1.47245,8947
2014.03.31,17:00,1.47244,1.47477,1.47232,1.47403,6848
2014.03.31,18:00,1.47401,1.47497,1.4733,1.47477,3138
2014.03.31,19:00,1.47477,1.47483,1.47363,1.47368,2267
2014.03.31,20:00,1.47368,1.47443,1.47336,1.47369,2042
2014.03.31,21:00,1.47369,1.47393,1.47331,1.47368,2062
2014.03.31,22:00,1.47367,1.47398,1.47314,1.47378,2072
2014.03.31,23:00,1.47388,1.47408,1.47304,1.47324,770
2014.04.01,00:00,1.47323,1.47393,1.47308,1.47352,867
2014.04.01,01:00,1.47351,1.47386,1.47333,1.47366,1205
2014.04.01,02:00,1.47366,1.47392,1.4731,1.47327,1429
2014.04.01,03:00,1.47327,1.47378,1.47318,1.47338,1632
2014.04.01,04:00,1.47337,1.47423,1.47324,1.47388,944
2014.04.01,05:00,1.47393,1.47429,1.4736,1.47426,1783
2014.04.01,06:00,1.4742,1.47422,1.47348,1.47378,931
2014.04.01,07:00,1.47377,1.47402,1.47344,1.47377,1043
2014.04.01,08:00,1.47376,1.47475,1.47337,1.47446,2527
2014.04.01,09:00,1.47446,1.47464,1.47133,1.47133,5530
2014.04.01,10:00,1.47133,1.47318,1.46916,1.46948,5735
2014.04.01,11:00,1.46948,1.47058,1.4691,1.4698,4588
2014.04.01,12:00,1.46977,1.47013,1.46839,1.46968,3296
2014.04.01,13:00,1.46967,1.47052,1.46889,1.46919,4325
2014.04.01,14:00,1.46921,1.46928,1.46587,1.46827,5249
2014.04.01,15:00,1.46827,1.46925,1.46707,1.4689,4428
2014.04.01,16:00,1.46889,1.47003,1.4679,1.46954,6556
2014.04.01,17:00,1.46954,1.47013,1.46826,1.46836,4853
